| Question ID | Question Name                                            | Difficulty |
|-------------|----------------------------------------------------------|------------|
| 175         | Combine Two Tables                                       | Easy       |
| 181         | Employees Earning More Than Their Managers               | Easy       |
| 182         | Duplicate Emails                                         | Easy       |
| 183         | Customers Who Never Order                                | Easy       |
| 196         | Delete Duplicate Emails                                  | Easy       |
| 197         | Rising Temperature                                       | Easy       |
| 511         | Game Play Analysis I                                     | Easy       |
| 577         | Employee Bonus                                           | Easy       |
| 584         | Find Customer Referee                                    | Easy       |
| 586         | Customer Placing the Largest Number of Orders            | Easy       |
| 595         | Big Countries                                            | Easy       |
| 596         | Classes With at Least 5 Students                         | Easy       |
| 607         | Sales Person                                             | Easy       |
| 610         | Triangle Judgement                                       | Easy       |
| 619         | Biggest Single Number                                    | Easy       |
| 620         | Not Boring Movies                                        | Easy       |
| 627         | Swap Salary                                              | Easy       |
| 1050        | Actors and Directors Who Cooperated At Least Three Times | Easy       |
| 1068        | Product Sales Analysis I                                 | Easy       |
| 1075        | Project Employees I                                      | Easy       |
| 1084        | Sales Analysis III                                       | Easy       |
| 1141        | User Activity for the Past 30 Days I                     | Easy       |
| 1148        | Article Views I                                          | Easy       |
| 1179        | Reformat Department Table                                | Easy       |
| 1211        | Queries Quality and Percentage                           | Easy       |
| 1251        | Average Selling Price                                    | Easy       |
| 1280        | Students and Examinations                                | Easy       |
| 1327        | List the Products Ordered in a Period                    | Easy       |
| 1378        | Replace Employee ID With The Unique Identifier           | Easy       |
| 1407        | Top Travellers                                           | Easy       |
| 1484        | Group Sold Products By The Date                          | Easy       |
| 1517        | Find Users With Valid E-Mails                            | Easy       |
| 1527        | Patients With a Condition                                | Easy       |
| 1581        | Customer Who Visited but Did Not Make Any Transactions   | Easy       |
| 1587        | Bank Account Summary II                                  | Easy       |
| 1633        | Percentage of Users Attended a Contest                   | Easy       |
| 1661        | Average Time of Process per Machine                      | Easy       |
| 1667        | Fix Names in a Table                                     | Easy       |
| 1683        | Invalid Tweets                                           | Easy       |
| 1693        | Daily Leads and Partners                                 | Easy       |
| 1729        | Find Followers Count                                     | Easy       |
| 1731        | The Number of Employees Which Report to Each Employee    | Easy       |
| 1741        | Find Total Time Spent by Each Employee                   | Easy       |
| 1757        | Recyclable and Low Fat Products                          | Easy       |
| 1789        | Primary Department for Each Employee                     | Easy       |
| 1795        | Rearrange Products Table                                 | Easy       |
| 1873        | Calculate Special Bonus                                  | Easy       |
| 1890        | The Latest Login in 2020                                 | Easy       |
| 1965        | Employees With Missing Information                       | Easy       |
| 1978        | Employees Whose Manager Left the Company                 | Easy       |
| 2356        | Number of Unique Subjects Taught by Each Teacher         | Easy       |
| 3436        | Find Valid Emails                                        | Easy       |
| 3465        | Find Products with Valid Serial Numbers                  | Easy       |
| 3570        | Find Books with No Available Copies                      | Easy       |
| 176         | Second Highest Salary                                    | Medium     |
| 177         | Nth Highest Salary                                       | Medium     |
| 178         | Rank Scores                                              | Medium     |
| 180         | Consecutive Numbers                                      | Medium     |
| 184         | Department Highest Salary                                | Medium     |
| 550         | Game Play Analysis IV                                    | Medium     |
| 570         | Managers with at Least 5 Direct Reports                  | Medium     |
| 585         | Investments in 2016                                      | Medium     |
| 602         | Friend Requests II: Who Has the Most Friends             | Medium     |
| 608         | Tree Node                                                | Medium     |
| 626         | Exchange Seats                                           | Medium     |
| 1045        | Customers Who Bought All Products                        | Medium     |
| 1070        | Product Sales Analysis III                               | Medium     |
| 1158        | Market Analysis I                                        | Medium     |
| 1164        | Product Price at a Given Date                            | Medium     |
| 1174        | Immediate Food Delivery II                               | Medium     |
| 1193        | Monthly Transactions I                                   | Medium     |
| 1204        | Last Person to Fit in the Bus                            | Medium     |
| 1321        | Restaurant Growth                                        | Medium     |
| 1341        | Movie Rating                                             | Medium     |
| 1393        | Capital Gain/Loss                                        | Medium     |
| 1907        | Count Salary Categories                                  | Medium     |
| 1934        | Confirmation Rate                                        | Medium     |
| 3220        | Odd and Even Transactions                                | Medium     |
| 3421        | Find Students Who Improved                               | Medium     |
| 3475        | DNA Pattern Recognition                                  | Medium     |
| 3497        | Analyze Subscription Conversion                          | Medium     |
| 3521        | Find Product Recommendation Pairs                        | Medium     |
| 3564        | Seasonal Sales Analysis                                  | Medium     |
| 3580        | Find Consistently Improving Employees                    | Medium     |
| 3586        | Find COVID Recovery Patients                             | Medium     |
| 3601        | Find Drivers with Improved Fuel Efficiency               | Medium     |
| 3611        | Find Overbooked Employees                                | Medium     |
| 185         | Department Top Three Salaries                            | Hard       |
| 262         | Trips and Users                                          | Hard       |
| 601         | Human Traffic of Stadium                                 | Hard       |
| 3374        | First Letter Capitalization II                           | Hard       |
| 3451        | Find Invalid IP Addresses                                | Hard       |
| 3482        | Analyze Organization Hierarchy                           | Hard       |
| 3554        | Find Category Recommendation Pairs                       | Hard       |
